あいにく 不凑巧
あおい 青
あおじろい 青白色
あかい 红
あきれる 吃惊
あくまで 彻底
あこがれる 憧憬
あさい 浅
あたたかい 暖
あたらしい 新
あつかう 待
あつかましい 厚脸皮
あてな 收件人姓名 （住址）
あぶない 危险
あふれる 溢出
あまい 甜
あやしい （奇怪）可疑
あらい 粗
あらすじ 概略
あらた 新
あらゆる 所有
ありがたい 难得
ありがたい 感谢的
あれこれ 这个那个
あわただしい 慌张
あんい 容易
あんがい 意想不到
いかずち 雷
いきいき 活泼
いきおい 势力
いきなり 突然
いくぶん 一部分
いけない 不可以
いこう 休息
いさましい 勇敢
いじょう 移让
いずれ 哪个
いぜん 依然
いだい 伟大
いたい 疼
いちいち 一一
いちおう 姑且
いっさくじつ 前天
いっさくねん 前年
いっしゅん 一瞬
いっせいに 一齐
いっそう 一层
いったい 一带
いったん 一旦
いっち 一致
いつのまにか 不知不觉地
いっぽう 通知一下
いとけない 年幼的
いまにも 马上
イメージ 形象
いよいよ 愈益
いわば 说起来
いんたい 引退
いんよう 阴阳
うすぐらい 发暗
うちあわせる 商量
うったえる 诉讼
うやまう 敬
うらぎる 背叛
うらぐち 后门
うりきれ 全部售完
うるさい 讨厌
うれしい 高兴
えらい 伟大
おいかける 追赶
おうふく 往返
おうべい 欧美
おおいに 大
おおざっぱ 粗枝大叶
オートメーション 自动操作
おかしい 可笑的
おかず 菜
おきのどくさま 可怜
おこたる 懒惰
おしい 可惜
おしゃれ 好打扮
おそい 慢
おそい 迟缓的
おそらく 恐怕
おそわる 受教
おだいじに 请多保重
おだやか 平稳
おちつく 沉着
おのおの 各自
おぼれる 溺水
おまいり 崇拜
おまちどおさま 让您久等了
おめでたい 可喜
おもい 思
おもいがけない 料想不到的
おもいきり 断念
おもいこむ 深信
おもいつく 想出
