ごういん 强行
ごうか 豪华
ごうぎ 刚强
こうきょう 口述
こうへい 公平
こげる 焦
こしらえる 制造
こすい 狡猾
こっそり 悄悄
ことづける 托付
こまかい 小
こわい 硬
こんざつ 混乱
こんだて 菜单
サークル 圆
さかさま 逆
さきおととい 大前天
さきほど 刚才
さくぶつ 作品
さける 避
ささえる 支
さすが 真不愧是
さっさと 赶快地
さっそく 立刻
さびしい 寂寞
さゆう 左右
さらに 更
さわがしい 吵闹
さわやか 清爽
しあさって 大后天
しおからい 咸
しかく 刺客
しかくい 四角
しかたがない 没有办法
じかに 直接
しかも 而
しきゅう 牙弓
しきりに 频繁地
しじゅう Ⅰ<名>
しせい 雌性
しだいに 逐渐
したがって 因此
したしい 近
しっかり 结实
しつこい 过浓
じつぶつ 实物
しっぽ 尾巴
しびれる 麻木
しぼむ 枯萎
しまい 终了
しまった 糟糕
じみ 质朴
しみじみ 痛切
しめた 好极了
しめる 关闭
しゃがむ 蹲
じゃぐち 水龙头
じゃま 妨碍
じゅうたい 进展不顺利
じゅうだい 重大
しゅっしん 出生在……
じゅみょう 寿命
しゅよう 主要
じゅよう 容纳
じゅんかん 旬
じゅんじょう 纯真
じゅんちょう 顺着潮流前进
しょう 背
しようがない 毫无办法
じょうけん 条件
しょうじき 老实
しょうじょう 商情
しょうてん 冲天
じょうひん 高级品
しょうぶ （争）胜负
しょうみ 欣赏滋味
しょうもう 消耗
しょさい 书房
じょじょに 徐徐
しりあい 相识
しろうと 外行
しわ 皱纹
しんけん 真刀
しんこく 严肃
じんせい 尘世
しんせん 新鲜
しんちょう 慎重
じんぶつ 人
しんや 深夜
しんゆう 至交
しんよう 信
すいじ 炊事
すいちょく <数>垂直
すいへい 水平
すいみん 睡眠
ずうずうしい 厚颜
すえっこ 最小的儿子
すきとおる 透明
すきま 缝
すくない 少
