おもしろい 有趣
おもたい 重
おもに 重担子
おもわず 禁不住
およぼす 达到
カーブ 弯曲
かいてい 舒适
かおり 香味儿
かかえる 抱
かきね 篱笆
かくご 精神准备
かけつける 急忙赶到
かける 打赌
かさねる 重叠地堆放
かしこい 聪明
かしょ …个地方
かじょう 过剩
かたがた 各位
かたよる 偏颇
かっこう 样子
かつやく 活跃
かなしい 悲哀
かならずしも 不一定
かはんすう 过半数
かぶ 下部
かもしれない 也许
かゆい 痒
からい 辣
からかう 逗
からっぽ 空
かれる 嘶哑
かわいい 讨人喜欢
かわいがる 爱
かわいらしい 可爱
かんかく 感觉
かんきょう 兴趣
かんげき 感激
かんじょう 干城
かんちがい 错认
かんびょう 护理
きいろい 黄色
ききん 饥荒
きげん 心情
きざむ 切细
きじ 新闻
きすう 趋向
きたない 脏
きつい 强烈
きっかけ 起首
きのう 归纳
きのどく 可怜
きびしい 严
きゅうしゅう 急袭
きゅうそく 迅速
きよい 清澈
きょう 今天
ぎょうぎ 举止
きょうきゅう 供给
きょうしゅく 恐惶
ぎょうれつ 行列
きょだい 巨大
きらきら 灿烂
きらく 舒畅
きりつ 纪律
ぐうすう 偶数
くぐる 通过
くさい 臭
くさる 腐烂
くしけずる 梳
くしゃみ 喷嚏
くずす 拆
くたびれる 累
くだらない 无用
ぐっすり 熟睡的样子
くどい 冗长乏味
くふう 设法
くべつ 区别
くぼむ 洼下
くやしい 令人懊悔
くやむ 懊悔
くらい 大约
くるう 发狂
くるしい 痛苦
くれぐれも 反复
くろい 黑色
くろうと 内行
くわしい 详细
けち 吝啬
けっさく 杰作
けっして 决不
げひん 卑鄙
けむい 冒烟的
けわしい 险峻
げんかい 奇怪
けんきょう 牵强
げんこう 现行
げんじゅう 严重
けんとう 讨论
こい 故意
こいしい 亲爱的
