すくなくとも 至少
すすぐ 涮涤
すずしい 凉快
スタート 出发（点）
すっきり 舒畅
すっぱい 酸
すまない 对不起
ずらり 成排地
するどい 尖
すれちがう 交错
ずれる 离开
すんぽう 尺寸
せいしき 正式
せいすう 整数
ぜいたく 奢侈
せっする Ⅰ<自动>
せっせと 拼命地
ぜったいに 完全地
せまい 施舍米
せめて 哪怕是 ……（也好）
そうぞうしい 吵闹
そく 束
ぞくぞく 阵阵发冷
そそっかしい 举止慌张
そっくり 全
そっちょく 直率
そっと 悄悄地
そなえる 准备
そのうえ 又
そのうち 最近
そまつ 粗糙
それる 脱离正轨
そろう 齐全
だいきん 价款
だいく 木匠
たいけい 大计
たいはん 大半
たいぼく 大树
ダイヤ 钻石
だえん 椭圆
たかい 高
たくわえる 储备
たしょう 多少
たすかる 得救
ただし 但
ただしい 正确
ただちに 立刻
たちば 立脚地
だとう 妥当
たのしい 快乐
たのもしい 可靠
ダブる 重复
だます 骗
ためいき 叹气
ためす 试
ためらう 踌躇
たより 消息
たよる 依靠
だんすい 断水
たんとう 担任
チェック 支票
ちかい 近
ちかい 地下室
ちがいない 一定……
ちからづよい 心里踏实
ちじ 知事
ちじん 痴人
ちぢむ 缩
ちっとも 一点也不
ちゃきちゃき 正统
ちょうか 长篇的歌
つまずく 绊倒
つまらない 没有价值
つめたい 冷
であう 遇见
てきかく 正确
でこぼこ 凹凸不平
てごろ 正合手
でたらめ 荒唐
てつや 彻夜
てま 劳力和时间
でむかえる 迎接
てんけい 典型
といあわせ 询问
とうじ 答词
どうせ 反正
とうめい 透明
とおり 大街
とおりかかる 恰巧路过
とおりすぎる 走过
とがる 尖
どきどき 七上八下
どくする 毒害
とけこむ 融洽
とじる 订上
とっくに 老早
どっと 一齐
ととのう 齐备
どなる 大声喊叫
とりけす 取消
