にんめい 任命
ぬけだす 擺脱
ね 楽音
ねいろ 音色
ねうち 價値
ねじれる 彎曲
ねたむ 嫉妒
ねだる  死氣白賴的要求
ねびき 降價
ねまわし 事前講明
ねる 攪拌
ねんちょう 年長
ノイローゼ  神經過敏
のうにゅう 交納
のがす 放過
のがれる 逃避
のきなみ 毎家
のぞましい 最好
のぞむ 面對
のっとる 劫持
のどか 和暖
ののしる 謾骂
のべ 共計
はあく 掌握
はいけい 背景
はいご 背後
はいしゃく 幫
はいぶん 分配
はいれつ 排列
はかどる 進展順利
はかない 短暫
はぐ 扒下
はくがい 迫害
はくじょう 坦白
ばくぜん 含糊
はげます 激励
はげる 剝落
はじく 防
はじらう 害羞
はじる 羞愧
はしわたし 搭橋
はずむ 情緒高漲
はそん 破損
はっせい 発生
はつみみ 初次聽到
はて 辺際
ばてる  疲乏
はなはだ 太
はなばなしい 轟轟烈烈
はばむ 阻礙
はまる 束縛
はやす 留
はらはら  捏一把汗
ばらまく 散布
はるか 遠方
はれる 腫
はんじょう 繁盛
はんする 違反
ばんのう 万能
はんぱ 零碎
はんぱつ 反抗
ひいては  不但～而且
ひかえる 控制
ひかん 悲観
ひごろ 平時
ひそか 暗中
ひたす 浸泡
ひたすら 只顧
ひっかく 撓
ひっしゅう 必修
びっしょり  湿透
ひつぜん 必然
ひってき 匹敵
ひといき 稍微休息一下
ひとがら 人品
ひとすじ 一心一意
ひとめ 衆目
ひどり 日期
ひなた 朝陽的地方
ひび 裂縫
ひやかす 調侃
ひょっとしたら  也許
ひらたい 平
ふい 冷不防
ブーム  流行
ぶかぶか  肥大
ふくれる 膨脹
ふさわしい 相称
ふしん 可疑
ふしん 不佳
ぶつぎ 公衆的批評
ふっきゅう 恢復原状
ぶっし 物資
ふとう 不合理
ぶなん 無可非議
ふへん 普遍
ふまえる 依據
ふみこむ 跨進
ぶらぶら  溜達
ふらふら  搖晃
