ふり  裝作
ふりかえる 回頭看
ふりだし 出發點
ふるわせる 使～哆嗦
ふんしつ 丟失
ふんだん  大量
へいこう 受不了
へきえき  感到爲難,夠人
ぺこぺこ  餓
へだたる 距離
べんかい 辯解
ほうしき 方式
ほうじる 報知
ぼうぜん 茫然若失
ほうりこむ 投入
ほうりだす 放棄
ぼける 模糊
ほころびる 開綫
ほっさ 突然性的
ぼっしゅう 没収
ほっそく 成立
ほっと  松了一口気
ほどける 解開
ほどこす 施行
ほとり  邊
ぼやく  嘟囔
ぼやける  模糊
ほろびる 滅亡
ほんかく 正規
ほんね 真心話
ほんば 發源地
まえおき 開場白
まえもって 事先
まかなう 維持
まぎらわしい 容易混淆
まぎれる 解悶
まごつく 茫然不知所措
まことに 實在
まさしく 的確
まじえる 夾雜
まして 何況
マスコミ 宣傳媒介
またがる 橫跨
まちどおしい 盼望
まちのぞむ 期待
まちまち 形形色色
まぬがれる 避免
まばたき 眨眼
まひ 麻痺
まるごと 整個
まるっきり  全然
まるまる  蜷曲
まるめる 揉成團
まんじょう 全場
みあわせる 暫停
みおとす 看漏
みかく 味覚
みぐるしい 難看
みこみ 估計
みじん 碎末
みすぼらしい  寒磣
みせびらかす  賣弄
みたす 充滿
みだす 弄乱
みぢか 身邊
みっしゅう 密集
みっせつ 密切
みつもり 估價
みとおし 預料
みなす 看作
みなり 裝束
みのうえ 身世
みのがす 饒恕
みのまわり 日常生活
みはからう 斟酌
みはらし 眺望
みぶり 姿態
みれん 依戀
みわたす 放眼望去
むくち 沉默寡言
むしる  撕
むだづかい 浪費
むちゃ  胡亂
むなしい 空虛
むやみに 過度
むら 不均勻
むろん 不用説
めいちゅう 命中
めいはく 明顯
めいりょう 明瞭
めくる  揭下
めざましい 驚人
めつき 眼神
めど 目標
めもり 刻度
めんする 面對
めんぼく 臉面
もうける 設立
もうしいれる 提出意見
もうしでる 報名
