あいそう 和蔼可亲
あいだがら 關係
あえて 特意
あくどい 太過火
あざ 痣
あさましい 卑鄙
あざむく 欺騙
あざわらう 嘲笑
あせる 急躁
あっけない 太簡単
あつらえる 訂做
あとまわし 推遲
あべこべ 相反
あやつる 操縱
あやぶむ 認爲危險
あやふや 含糊
あやまち 過錯
あらかじめ 預先
あらっぽい 粗暴
ありさま 状態
ありのまま 老実
ありふれる 通常的
あんじ 暗示
あんじる 思考
あんのじょう 果然
いいかげん 适度
いいわけ 辯解
いかに 無論
いかにも  果然
いき 瀟灑
いきがい 人生的意義
いきごむ 興致勃勃
いくた 許多
いじる 撥弄
いぜん 仍然
いたって 甚
いちがいに 一概
いちどう 全体
いちもく 一目瞭然
いちよう 同樣
いちりつ 一律
いちれん 一連串
いっかつ 匯總
いっき 一口気
いっきょに 一舉
いっしん 一心一意
いっそ  索性
いっぺん 突然改變
いと 意図
いびき 打呼嚕
いまさら 現在才
いまだ 尚未
いやいや 勉勉強強
いやに  太
いんき 憂鬱
うけとめる 擋住
うちあける 坦率説出
うちきる 停止
うちこむ 打入
うちわけ 詳細内容
うっとうしい 郁闷
うつむく 低頭
うつろ 空虚
うつわ 容器
うでまえ 本領
うぬぼれ 驕傲
うまれつき 天性
うるおう 湿潤
うわまわる 超出
うんざり  厭膩
うんよう 運用
えんかつ 圓満
えんきょく 婉轉
えんまん 圓満
おいこむ 逼入
おいて 在．．．方面
おう 多虧
おおかた 大家
おおがら 大花紋
おおげさ 誇張
おおすじ 梗概
おおまか 草率
おくびょう 膽小
おごる 請客
おしきる 堅持到底
おしこむ 塞進
おしよせる 湧上來
おそくとも 至遅
おそれ 憂慮
おそれいる 是在不擔當
おだてる 給戴高帽
おちこむ 下降
おてあげ 束手無策
おどおど 揣揣不安
おどかす 威脅
おのずから 自然而然的
おびえる 害怕
