おびただしい 大量
おびやかす 威脅
おびる 帯有
おまけ  減価
おもいつき 偶然的想法
おもむき 情趣
おもんじる 重視
およぶ 趕得上
おりかえす 折疊
おろそか 疏忽
おんわ 温和
かいしゅう 回収
がいする 傷害
がいとう 街頭
がいとう 符合
かいにゅう 介入
かいほう 護理
かえりみる 反省
かおつき 相貌
かきまわす 撹拌
かくさ 差別
かけ 賭博
かさばる 体積大
かさむ 増大
かじょうがき 一条条写
かすか 微弱的
かすむ 雲霧懞朧
かする 掠過
かそ 過稀
かたこと 只言片語
かためる 鞏固
かたわら 傍辺
かっきてき 劃時代的
がっくり  突然無力的
がっしり  粗壯
がっち 一致
がっちり  牢固
かつて  至今
かなう 希望実現
かなわない 比不上
かねて 老早以前
かばう 庇護
かぶれる  起炎症
かみ 摻加
からだつき 体形
からむ 找茬
かり 臨時
かれる 枯竭衰竭
かろうじて  好容易才
かわす 互相
かんげん 歸還
かんさん 折合
がんじょう 健壯
かんじん 重要
かんせい 歓声
かんぺき 完善
かんよう 寛容
がんらい 生來
かんろく 尊嚴
きがい 危害
きかざる 盛裝
きがね 顧慮
きがる 舒暢
きき 危機
ききめ 效驗
きざ 裝模作樣
きざし 兆頭
きしつ 気質
きしむ 吱吱嘎嘎響
きずく 建立
きだて 性情
きたる 下次的
きちっと 好好的
きちょうめん 規規矩矩
きっかり  正好
きっちり  整
きっぱり  果断
きどう 軌道
きひん 意境
きふく 起伏
きまぐれ 心血來潮
きまじめ 一本正經
きまりわるい 不好意思
きゃしゃ 苗條
きゅうきょく 最終
きゅうくつ 緊
きゅうち 故知
きょうい 驚異
きょうかん 共感
きょうぐう 環境
きょうじる 感興趣
きょうめい 同感
きょうれつ 強烈
きょくたん 極端
きよらか 清潔
きらびやか  華麗
きりかえる 轉換
きわめて 極其
ぎんみ 斟酌
きんもつ 切忌
