くいちがう 不一致
くぐる 鉆過
くじ 抓鬮兒
くすぐったい  難爲情
ぐち 發牢騷
くちずさむ 哼
くちる 腐朽
くつがえす 翻轉
くっきり  清楚
くっせつ 歪曲
ぐっと  一下子
くみあわせる 分組
くろうと 内行
けいき 契機
けいそつ 軽率
けがらわしい 卑鄙
げっそり  急劇消瘦
けつぼう 缺乏
けとばす 踢開
けなす 貶低
けんぎょう 兼営
けんげん 権限
けんざい 健在
けんぜん 健全
けんち 観点
げんみつ 厳密
けんめい 明智
けんやく 節約
けんよう 兩用
こうい 好意
こうきょう 繁榮
こうこう 亮堂堂
こうじょ 扣除
こうしょう 高深
こうたく 光沢
こうみょう 巧妙
こがら 身材短小
ここ 毎個
ここち 感覺
こころえ 知識
こころがける 注意
こころざす 立志
こころづよい 放心
こころぼそい 心中沒底
こころみる 試試
こころよい 愜意
ごさ 誤差
こじれる 複雜化
こだわる 執著
こちょう 誇張
こつ  秘訣
こっけい 滑稽
ことごとく  一切
ことに 特別
ことによると 或許
こなごな 粉碎
このましい 可喜
こべつ 個別
コマーシャル  商務的
ごまかす 敷衍
こまやか 細致
こめる 精心
こもる 充滿
こゆう 固有
こらす 凝
こりる 教訓
こる 熱中
こんき 耐性
さいく 工藝
さえぎる 遮攔
さえる 洩氣
さける 撕裂
さしかかる 路過
さしず 指示
さしつかえる 妨礙
さする 摩撫
さぞ  想必
さだまる 穩定
ざつ 草率
さっする 推測
さっと  突然
さっぱりする  爽快
さなか 正當中
さほど  并不那么
サボる  怠工
さわる 得罪
さんび 賛美
しあがり 完成情況
しあげ 作完的結果
しいて 勉強一定
しいる 強迫
しいれる 購入
しかける 設置
しきる 主持
しくじる  失敗
しくみ 規定
じざい 自由自在
しじ 支持
したごころ 用心
したじ 素質
