したしらべ 預習
したどり 以旧换新
したび 衰退
シック  雅致
じっくり  仔細的
しつけ 教養
しとやか 端莊
しなびる 枯萎
しなやか  柔美
しのぐ 擺脫
しぶい 澀
しぶとい  頑強
しみる 感染
しめい 使命
しや 視野
じゃっかん 若干
ジャンル  種類
しゅうし 從頭到尾
しゅうちゃく 留戀
じゅうらい 一如既往
しゅくめい 宿命
しゅっせ 成功
じゅんじる 以．．．為標準
しよう 辦法
じょう 情面
しょうする 自稱
しょざい 所在地
しょじ 持
しょっちゅう  經常
しょゆう 所有
しんそう 真相
じんそく 迅速
しんにん 信任
しんぼう 忍耐
すえる 安設
すがすがしい 清爽
すくう 撈取
すこやか 健壯
すすぐ 洗刷
すそ 下擺
すたれる 過時
ストレス  精神圧力
すばしこい  敏捷
すばやい 快速
ずばり  擊中要害
ずぶぬれ 全身湿透
すみやかに 迅速
ずらっと  成排的
ずるずる  拖拉
すれちがい 交錯
すんなり  苗條
せいか 成果
せいぜん 井然有序
せいとう 正当
せいめい 声明
せかす 催促
せじ 恭維
ぜせい 更正
せつじつ 切実
せつない 悲痛
センス  品味
ぜんてい 前提
そっぽ  扭向一邊
そびえる 聳立
そらす 迴避
そる 彎曲
ぞんざい  草率
たいしょ 處理
だいなし 斷送
タイミング  時機
たくましい 堅強
たくみ 巧妙
たずさわる 參與
たっせい 達成
たてまえ 方針
たどる 追溯
たばねる 包
だぶだぶ  又肥又大
たもつ 保持
たやすい 容易
たよう 多種多樣
だるい  発倦
たるむ 松懈
たんいつ 単一
ちゃくもく 著眼
ちやほや  溺愛
ちゅうこく 忠告
ちゅうしょう 中傷
ちょうほう 器重
ちょくちょく  時常
ちらっと  一閃
ついやす 花費
つうせつ 痛切
つかのま 轉瞬
つきなみ 平庸
つきる 用完
つくす 尽力
つくづく  深切
つげる 告知
つじつま 條理
