トレーニング 练习
とんでもない 意外
ない 没有
ながい 长
なかなおり 稍见好转
ながびく 拖长
なかみ 内容
なかよし 相好
なぐさめる 安慰
なぞなぞ 谜
なだらか 坡度小
なつかしい 怀念
なっとく 理解
なまいき 自大
にがい 苦
にくい 可憎的
にくらしい 讨厌
にっちゅう 晌午
にょうぼ 老婆
にらむ 盯视
にわか 突然
ぬるい 微温
ぬるい 微温
のうりつ 效率
のこらず 全
のろのろ 迟缓
のんき 悠闲
はえる 长
ばからしい 愚蠢
ばくだい 莫大
はげしい 激烈
はしご 梯
はたして 果然
はっそう 构思
はで 花哨
はなしかける 搭话
はなはだしい 很
ばね 发条
はねる 跳
はぶく 省
はへん 破片
はやい 快
バランス 平衡
はりきる 拉紧
はんい 犯罪意识
はんえい 繁荣
はんこ 印章
ひあたり 向阳
ひがえり 当天回来
ひかげ 背阴处
ひきうける 承担
ひきかえす 返回
ひきとめる 留
ひきょう 胆怯
ひくい 低
ひっかかる 挂上
ひっくりかえす 弄倒
ぴったり 紧
ひどい 残酷
ひとしい 相等
ひととおり 大概
ひとまず 暂且
ひとりでに 自己
ひにく 挖苦
ひびく 响
びみょう 美妙
びょうどう 平等
ふかい 深
ふかい 不快
ふく Ⅰ<自动>
ふざける 开玩笑
ぶっそう 骚然不安
ふとい 粗
プラス 加号
プラン 计划
ふり 不利
プロ 专业的
ぶんけん 分出派遣
ぶんすう 分数
ぶんせき 分析
へいじつ 平常
ベテラン 老手
へんこう 变更
ぼうけん 冒险
ぼうし 防止
ほうしん 方针
ぼうはん 防止犯罪
ほうふ 丰富
ぼうや 小朋友
ほおえむ 微笑
ほす 晒
ほそい 细
ほのお 火焰
ぼろ 破布
ほんもの 真东西
マイナス 减
まごまご 张皇失措
まさつ 摩擦
まずい 不好吃
まずしい 穷
