неделя 星期
понедельник 星期一
вторник 星期二
среда 星期三
четверг 星期四
пятница 星期五
суббота 星期六
воскресенье 星期天
сколько 几个
обычно 通常
дискотека 舞会
спортзал 健身房
фильм 电影
телевидение 电视
утро 早晨
день 每日
вечер 晚上
ночь 夜里
сутки 昼夜
час 小时
минута 分钟
секунда 秒钟
бильярд 台球
бегать 跑步
плавать 游泳
продукты 食物
молоко 牛奶
овощи 蔬菜
фрукты 水果
хлеб 面包
напитки 饮料
конфеты 糖果
колбаса 香肠
баранина 羊肉
говядина 牛肉
свинина 猪肉
креветка 虾
омар 龙虾
семга 三文鱼
капуста 白菜
баклажан 茄子
огурец 黄瓜
гриб 蘑菇
морковь 胡萝卜
помидор 西红柿
картошка 土豆
шпинат 菠菜
нравится 喜欢
купить 买
кислый 酸的
сладкий 甜的
горький 苦的
острый 辣的
соленый 咸的
свежий 新鲜的
