конфета 糖果
обувь 鞋子
знамя 旗帜
произведение 作品
музыкант 音乐家
москвич 莫斯科人
химик 化学家
упражнение 练习
математика 数学
заниматься спортом 运动
смотреть 看
делать 制造
стоять 站着
понедельник 星期一
вторник 星期二
среда 星期三
четверг 星期四
пятница 星期五
суббота 星期六
воскресенье 星期日
фотографировать 摄影
фотография 照片
вспоминать 想起，回想
отвечать 回答
изучать 研究
родные 亲人
герой 英雄
спортивный 运动的
костюм 服装，衣服
холодный 冷的
поздравить 祝贺
пригласить 邀请
актер 演员
популярный 受欢迎的
столовая 食堂
рисовать 画
пить 喝
осенний 秋天的
известный 有名的
премия 奖金，奖品
французский 法国的
вспоминать 记起
литература 文学
модный 时髦的
микро блог 微博
кинофестиваль 电影节
журналист 新闻记者
американский 美国的
симпатичный 可爱的
режиссер 导演
светлый 浅色的，明亮的
волос 头发
голубой 淡蓝色，天蓝色
лоб 额头
прямой 直的
темный 深色的
карий 淡褐色
брать 借
рядом 在旁边
читальный зал 阅览室
турист 游客
инженер 工程师
преподавательница 大学教师(女)
официантка 女服务员
коллега 同事
фотографировать 照相
огромный 巨大的
культурный 文化的
центр 中心
художественный 艺术的
выставка 展览会
существовать 存在
картинный 画的
галерея 走廊
спектакль 戏剧
концертный зал 音乐厅
уважать 尊敬
международный 国际的
научный 科学的
конференция 代表会议
спрашивать 问
будни 非假日
праздник 节日
младший 年幼的
проблема 问题
проводить 通过
тысяча людей 人山人海
