шофер 汽车司机
неделя 星期
время 时间
недавно 不久以前的
думать 想
обязательно 一定
конечно 当然
переводчик 翻译员
птичий 鸟的
кошка 猫，母猫
птица 鸟，禽
рыба 鱼
животные 动物
санаторий 疗养院
уделять 抽出
внимание 注意
выделять 分出
средство 资金
строительство 建筑
объект 客体
гость 客人
культура 文化
оперный 歌剧的
отремонтировать 修复
исторический 历史性的
картинная галерея 画廊
концертный зал 音乐厅
удовольствие 高兴
доклад 报告
интерес 兴趣
разговаривать 交谈
шахматы 国际象棋
программа 规划
правда 真理
специальность 专业
восковой 蜡制的
доска 板，黑板
перо 羽毛
социолог 社会学家
авторучка 自来水钢笔
шариковый 钢珠的
палочка 小棍子
дипломат 外交官
музыкант 音乐家
зкономист 经济学家
журналист 新闻记者
профессия 职业
медсестра 女护士
нож 刀
плащ 雨衣
конверт 信封
марка 邮票
север 北
страна 国家
окончить 结束，毕业
вернуться 回来
великий 伟大的
гражданин 公民
президéHT 总统
глава государства 国家元首
задать 提出
o6cyдЙTь 讨论
общаться 交流
связь 联系
осуществляться 实现，实行
лыжник 滑雪者
выйти замуж 出嫁，结婚
тренировка 练习
телевизионный 电视的
участвовать 参加
экскурсовод 游览向导员
образованный 受过教育的
талантливый 天オ的
умный 聪明的
популярный 通俗的，流行的
модный 时髦的
стройный 苗条的
энергичный 精力充沛的
обаятельный 有魅力的
звезда 星
смелый 勇敢的
педагогический 师范的
эстрадный 舞台的
светить 闪耀
рисование 素描，绘画
советовать 建议
