интересовать кого 使引起兴趣
тренер 教练员
водитель 驾驶员
кинофестиваль 电影节
идея 主意
рождение 生日
знаменитость 名人，名望
знакомиться 认识
волосы 头发
жизнь 生活
баскетболист 篮球运动员
космонавт 宇航员
пожилой 上了年纪的
седой 花白的
коса 辫子
букет 花束
гордиться 感到自豪
открыться 开通，开放
советский 苏维埃的，苏联的
правительство 政府
начало 开始
грандиозный 宏伟的
существовать 存在
первая линия 一号线
участвовать 参加，参与
строительство 施工
опытный 有经验的
украшение 饰物
считать 认为
идти 行走
ходить 行走
ехать 乘，坐，骑
ездить 乘，坐，骑
бежать 跑
бегать 跑
плыть 游
плавать 游
нести 拿来，提，背
носить 拿来，提，背
везти 搬送，运
возить 搬送，运
вести 领，搀扶
водить 领，搀扶
лететь 飞
летать 飞
движение 运动
чайка 海鸥
над морем 在海上
опаздывать 迟到
каждый день 每天
уметь 会，能
лыжи 滑雪板
спешить 赶忙，赶紧
точно 精确地
юг 南方
спортзал 运动室
научиться 学会
только 仅仅
детский сад 幼ㄦ园
болеть 生病，病痛
голова 头
не мочь 不能
институт 学院
снег 雪
торговый 商业的
всегда 总是，始终
недалеко 距离不远
строить 建设
петь 唱
повторять 重复
обязательно 一定
пробовать 尝试
приглашать 邀请
спектакль 戏剧
показывать 出示
выключать 关闭，切断
газ 天然气
проверить 检查
электронная почта 电子邮箱
встать 起床
вспомнить 记起
закончить 完成
лечь 躺下
спать 睡
бить 打击
закуска 冷盘
икра 鱼子酱
краб 蟹
грибы 蘑菇
новоселье 乔迁之喜
диктант 听写
беспокоиться 担心
положить 平放
замечательный 极好的
хозяйка 主妇
бояться 害怕
жарко 热
