спеть 唱歌
сесть 坐下
отдохнуть 休息
продолжать 继续
начинать 开始
памятник 纪念碑
фотографироваться 照相
c трудом 很费力地
торт 蛋糕
ужин 晚饭
помочь 帮助
расти 生长
поспать 睡一会
устать 疲倦
счастливый 幸福的
пригласить 邀请
позвать 打电话，叫
одеваться 穿戴
сам 自己
громче 更大声一点
собрание 会
найти 找到
предложение 建议
клуб 俱乐部
танцы 舞蹈
против 反对
выполнять 完成
домашние задания 家庭作业
факультет 大学的系
идет дождь 下雨
дует ветер 刮风
доклад 报告
быстро 快
должен (他)应该
находиться 坐落
внимательный 注意的，细心的
собраться 集合
ясный 明亮的
двор 院子
старший курс 高年级
с детства 从童年起
ничто 什么也不
дом отдыха 疗养院
компьютер 计算机
заниматься 学习
увлекаться 着迷，酷爱
согласиться 同意
бояться 怕
чемпион 冠军
победить 战胜
теннис 网球
теннисист 网球运动员
выполнить 完成
директор 经理
отличный 极好的
село 村庄，镇
детство 童年
проводить 度过
находиться 在
счастливый 幸福的
корпус 楼房
правильный 正确的
тоже 也
путешествовать 旅行
сезон 季节
лист 叶子
прическа 发型
парикмахерская 理发店
подстричься 理发
лекарство 药
стирка 洗涤
почистить 清洗
прачечная 洗衣店
аптека 药店
ремонт 修理
обувь 鞋子
ключ 钥匙
больше 更多
холодный 冷的
жаркий 热的
урожай 丰收
созревать 成熟
сильный 有力的
золотой 金的
крестьянин 农民
