шумно 吵杂地
ждать 等候
выбегать 跑出
практика 见习
зарядка 体操
грустно 忧郁地
радушно 亲切地
эффективно 有效地
умываться 洗脸
выходить 出去
внизу (在)下面
курить 抽烟
хотеться кому 要
теплеть 变暖和
светлеть 天亮起来
спаться 睡得着
оставлять 留下
располагать 布置，排列
готовиться 准备
рассказать 讲述
мороз 寒冷
век 世纪
ошибка 错误
спешить 急忙
выполнить 实现，完成
узнавать 得知
фраза 句子
зависеть 依附，取决于
дискотека 迪斯科
разгуляться 纵情欢乐
после занятий 课后
богатый 丰富的，富裕的
добрый 善良的
крепкий 坚硬的
жаркий 热的
скучный 无聊的
глубокий 深的
тихий 沉静的
молодой 年轻的
портфель 皮包
велосипед 自行车
твердый 固态的
мягкий 软的
древний 古代的
письменный 书面的
планета 行星
венера 金星
земля 地球
луна 月球
алмаз 金刚石
стекло 玻璃
металл 金属
дерево 木，树
масло 油
серебро 银
золото 金
мир 世界
вершина 高峰
пересадка 换乘
программа 规划，计划
чувствовать 感受
получать 收到
информация 信息
вид 种类
современный 现代的
сдать 通过考试
настольный теннис 乒乓球
верблюд 骆驼
медведь 熊
черепаха 乌龟
лебедь 天鹅
летать 飞
двигаться 移动
горло 喉咙
болеть 生病
коллега 同事
поправляться 康复
вызвать 找来，召唤
температура 温度
осмотреть 检查，细看
ангина 咽炎
принимать 服用，接受
сложно 复杂地
запомнить 记住
выписать 写
рецепт 药方
таблетка 药片
добавить 补充
проспект 大街
петербург 圣彼得堡
молодежный 青年的
бульвар 林荫路，街心花园
физкультура 体育
доклад 报告
убираться 打扫
посольство 大使馆
получать 收到
кончиться 完成
операция 操作
прочитать 看完
война 战争
поздно 晚
спортзал 体育馆
окончание 毕业，结束
партия 组，队，党派
рабочий 工人的
ложиться 躺下
супермаркет 超级市场
продукты 产品
половина 一半
передача 电视广播
то есть 也就是说
обсуждать 讨论
новость 新闻
спорить 争论
политика 政策
мелкий 浅的
