частица 一小部分
открыться 打开
бриться 刮脸
встретиться 相遇
умываться 洗脸
здороваться 打招呼
улыбаться 微笑
использоваться (被)利用
употребляться 适用
осторожно 小心
закрываться 关闭
обняться 相互拥抱
строиться 建设
конструкция 结构
собственно 实际
возвратный 往复的
непроизвольный 不由自主的行为
причесываться 梳头发
раздеваться 脱衣服
одеваться 穿衣服
мыться 洗澡
опаздывать 迟到
поторопить 催促
готов 准备
целоваться 亲吻
познакомиться 认识
коллега 同事
подождать 等待
восстановить 修复，还原
джинсы 牛仔裤
больной 生病的
модный 时尚的
вызвать 请出来
подходящий 合适的
полный 完整的
краткий 短尾的
форма 形式
край 地区
нефть 石油
газ 天然气
богатый 富有的
равный 相同的
приз 奖金
победитель 胜利者
преобразовать 扩展
тесный 紧的
узкий 窄的
сравнить 比较
измениться 改变
примерять 试
примерочная 试衣间
фасон 款式
размер 尺寸
подпись 签名，题词
отрицательный 否定的
реплика 答话
скобка 括号
подходить 合适
брать 拿，取
блузка 女短衫
широкий 宽的
известен 著名的
короткий 短的
маленький 小的
большой 大的
велики 大的
туфли 鞋子
юбка 裙子
блузку 衬衫
костюм 西装
