торговый 商贸
стать 开始
воспроизвести 内容
содержание 再现
движение 运动
приставка 前缀
затем 以后
продавец 售货员
посоветоваться 商量
выбрать 选择
современный 现代化的
домашний 家庭的
доставить 送到，运到
покупка 买到的东西
заплатить 支付
назвать 说出
должен 应当
зачетка 记分册
выпить 喝下
коробка 盒子
служащий 工作人员
поставить 放置
идти 走(定向)
ходить 走(不定向)
ехать 乘，骑(定向)
ездить 乘，骑(不定向)
бежать 跑(定向)
бегать 跑(不定向)
нести 带，拿(定向)
носить 带，拿(不定向)
везти 运送(定向)
возить 运送(不定向)
вести 领，伴送(定向)
водить 领，伴送(不定向)
обычный 平常的
добавить 添加，补充
вставать 起床，起立
факультет (大学)系
компания 公司
занятия 课，课程
длиться 持续，延长
перерыв 中间休息
обозначение 表示
точный 准确的
четверть 四分之一
половина 一半
назвать 说出，称为
разный 不同的，另外的
способ 方式
интервал 间隔，区间
весь 全部，所有的
целый 完整的，全体的
заниматься 学习
как долго 多长时间
как часто 多少频率
зимний 冬天的
каникулы 假期
проболжаться 继续，进行
разговор 交谈
отличаться 区别于，差别
свободный 空闲的
рабочий 工作的
