профессия 职业
популярный 受欢迎的
детство 童年
продавец 卖家，售货员
строитель 施工人员
журналист 记者
художник 画家
режиссер 导演
полицейский 警察
президент 总统
действительный 主动的
настоящий 现在的
суффикс 后缀
сообщение 信息，通知
определение 确定，判断
интервью 采访
управлять 管理，领导
государство 国家
зритель 观众
покупатель 买家，顾客
композитор 作曲家
музыкант 音乐家
сочинять 写出
пользоваться 利用
инструмент 工具，器械
телепередача 电视节目
падежный 变格的
ученый 学者
создание 建立，创作
медицинский 医学的
спасать 救治，挽救
пациент 患者
собираться 打算
в будущем 在未来
жениться 娶妻
артист 演员
артистка (女)演员
художественный 艺术的
скромный 谦虚的
торжественный 盛大的
поздравление 庆祝
устроить 布置，安排
организовать 组织
праздничный 节日的
сочетание 组合
родственник 亲戚
причина 原因
суффикс 后缀
пропустить 透过，漏过
собраться 集合，聚集
изменение 变化
зависеть от 取决于
голос 声音
поздороваться 打招呼
заменить 代替
праздновать 庆祝节日
жених 新郎
невеста 新娘
сообщить 通知，传达
пожениться (双方)结婚
свадебный 婚礼的
путешествие 旅行
замечательный 出色的
новость 新闻
радоваться 高兴
получиться 结果，出现
