фрагмент 片段
биография 传记
периодический 周期的
закон 定律
химический 化学
элемент 元素
таблица 表格，铭牌
существовать 存在
легенда 传说，轶闻
сон 梦
инфинитив 动词不定式
создать 创立，建立
пассивный 消极的，被动的
потерять 丢失
принять 接受
сложный 复杂的
операция 手术
опытный 有经验的
построить 建造
страдательный 被动的
причастие 形动词
смысл 意义
переулок 胡同，巷
возвращение 归来
впервые 第一次
кинофестиваль 电影节
модель 模型，样品
надежный 可靠的
губернатор 市长，州长
распространить 扩展，推行
теория 理论
решение 解决办法
зрители 观众们
пьеса 剧本
поставить 放置
сцена 舞台
ждать 等待
нажимать 按，压
входить 进入
использовать 利用
выходить 走出
водитель 司机
доехать 到达
останавливаться 停住
обратная сторона 反方向
ошибиться 弄错
направление 方向
проезд 行驶，通道
оплачивать 支付
передать 转交，传递
дьое 两个
трое 三个
четверо 四个
пятеро 五个
взять 拿，取
кондуктор 售票员
кинотеатр 电影院
детский 孩子的
мир 世界
театральный 剧院的
много 很多
люди 人们
следующий 下一个
пассажир 乘客
