отказ 拒绝
причина 理由
приезжать (乘车)来
родной 亲的，祖国的
никто 任何人(也不)
ничто 什么(都不)
никак 怎么样(也不)
нигде 在哪(也不)
никуда 哪里(也不)
никогда 什么时候(也不)
шопинг 购物
пошли 一起去....
цум 中央百货商店
тем более 尤其，更加
случиться 发生，曾经有过
побыть 待一会
нечего 没有什么可以
некого 没有人可以
негде 没有地方可以
некуда 没有地方可以
некогда 没有功夫(时间)
обижаться 抱怨，见怪
останавливаться 停顿，安顿
отрицательный 否定的
обратиться 找..提出
граница 边境，界限
измениться 改变
ближайший 最近的
корпоратив 公司派对
организация 组织
социальный 社会的，社交的
сеть 网络
любоваться 欣赏
прилично 得体，礼貌
алкоголь 酒精
селфи 自拍
становиться 变得
популярный 流行的
способ 方法
запечатлеть 刻画，记录
любой 任何的
парень 小伙子
уверенный 有信心的
сам 本人，独自
самый 正是，恰是
виноват 有过错
краситься 涂色
бороться 为...奋斗
зависеть 依赖，取决于
хотеться 想，想要
торговый 商业的
присутствовать 在，存在
снять 拍照
рождение 出生，生日
семейный 家庭的
положение 状况
деятельность 活动
заполнение 填写
загрузить 加载，上传
смартфон 智能手机
