つつしむ 謹慎
つっぱる 支撐
つとめて 盡量
つねる 擰
つのる 征集
つぶやく 發牢騷
つぶら 圓
つぶる 閉眼
つまむ 抓
つらなる 成排
つらぬく 貫徹
つらねる 連成一排
てあて 津貼
ていぎ 定義
ていけい 協作
ていさい 門面
ておくれ 耽誤
てがかり 綫索
てがける 親自動手
てかず 麻煩
てがる 簡單
てきぎ 酌情
てぎわ 手法
でくわす 偶然碰見
てじゅん 程序
てぢか 手辺
てっきり 一定
てっする 徹(夜)
でなおし 重新開始
てはい 通緝
てはず 歩驟
てほん 範本
てまわし 預先籌劃
てもと 身邊
てんじる 轉換
てんで  絲毫
といあわせる 打聽
とう～  本
どうかん 同感
とうてい 無論如何也
どうとう 同等
どうどう 堂堂正正
どうにか  總算
どうやら  多半
とおざかる 離遠
とかく  這樣那樣
とがめる 責備
ときおり 有時
とぎれる 間斷
どくじ 独自
とげる 達到
とだえる 中斷
とっさ 猛然
とつじょ 突然
とどこおる 堵塞
ととのえる 整理
となえる 提倡
とぼける 裝胡涂
とぼしい 缺乏
ドライ  淡漠
トラブル  糾紛
とりあえず 趕忙
とりわけ  尤其
とろける 溶化
どわすれ 一時想不起來
とんだ  意外的
ないし  或者
ないしょ 瞞着
ないしん 内心
なおさら 更加
なげく 嘆惋
なげだす 放棄
なごやか 和諧
なごり 残餘
なさけ 同情
なさけない 令人遺憾
なさけぶかい 仁慈
なじる 責問
なだかい 有名
なつく 接近
なにげない 無意
なにとぞ 請…
なにより 再好不過
なまぐさい 腥
なまぬるい 微暖
なまみ 肉身
なめる 舔
ならびに 以及
なりたつ 不能維持
なれなれしい 過分親昵
なんだかんだ 這樣
なんなりと  无论什么
にかよう 相似
にぎわう 熱鬧
にげだす 逃跑
にじむ 滲
にせもの 假冒者
になう 肩負
にゅうしゅ 得到
にんじょう 人情
