машина 汽车
велосипед 自行车
автобус 公交车
метро 地铁
такси 出租车
троллейбус 无轨电车
трамвай 有轨电车
остановке 公共汽车站
станция 车站
самолёт 飞机
поезд 火车
всегда 总是
обычно 一般
иногда 有时
редко 很少
далеко 远
быстро 快
медленно 慢
близко 近
дорого 贵
дешево 便宜
вид спорта 运动项目
заниматься 从事
плавание 游泳
хоккеи 冰球
лыжи 滑雪
гимнастика 体操
бокс 拳击
бег 跑步
фехтование 击剑
спорт 体育
велоспорт 自行车运动
йога 瑜伽
бадминтон 羽毛球
футбол 足球
гольф 高尔夫球
волейбол 排球
баскетбол 篮球
биллиард 台球
теннис 网球
пинг-понг 乒乓球
корт 网球场
спортплощадка 运动场
спортзал 健身房
бассейн 游泳馆
каток 滑冰场
стадион 体育场
