семья 家庭
познакомиться 认识
родители 父母
бабушка 祖母
дедушка 祖父
муж 丈夫
жена 妻子
дочь 女儿
сын 儿子
брат 兄弟
сестра 姐妹
внук 孙子
внучка 孙女
друг 男朋友
подруга 女朋友
парень 小伙子
девушка 姑娘
коллега 同事
рядом 旁边
справа 从右边
слева 从左边
большой 大的
маленький 小的
дети 孩子们
человек 人
сколько 多少
отец 父亲
мать 母亲
старший 年长的
младший 年幼的
ученик 学生
инженер 工程师
учитель 教师
повар 厨师
врач 医生
школа 学校
завод 工厂
больница 医院
отдыхать 休息
учиться 学习
на пенсии 退休
вермя года 季节
весна 春天
лето 夏天
осень 秋天
зима 冬天
весной 在春天
летом 在夏天
осенью 在秋天
зимой 在冬天
холодно 冷
жарко 热
прохладно 凉爽
тепло 温暖
жить 生活
бывать 常有
снег 雪
молния 闪电
ветер 风
дождь 雨
туман 雾
солнце 阳光
температура 温度
плюс 正
минус 负
ноль 零
градус 度
