цвет 颜色
белый 白色
чёрный 黑色
серый 灰色
красный 红色
жёлтый 黄色
синий 蓝色
зеленый 绿色
розовый 粉色
золотой 金色
серебристый 银色
фиолетовый 紫色
темный 深色
светлый 浅色
рубашка 衬衫
юбка 短裙
туфли 鞋
брюки 裤子
кеды 运动鞋
куртка 短上衣
платье 连衣裙
сапоги 靴子
хотеть 想要
посмотреть 看一看
покажите 请展示
костюм 西服
галстук 领带
ремень 腰带
сумка 书包
часы 手表
зонт 伞
очки 眼镜
перчатки 手套
шапка 帽子
шарф 围巾
рубль 卢布
ноль 0 
один 1
два 2
три 3
четыре 4
пять 5
шесть 6
семь 7 
восемь 8
девять 9
десять 10
одиннадцать 11
двенадцать 12
тринадцать 13
четырнадцать 14
пятнáдцать 15
шестнадцать 16
семнадцать 17 
восемнадцать 18
девятнадцать 19
двадцать 20
тридцать 30
сорок 40
пятьдесят 50
шестьдесят 60
семьдесят 70
восемьдесят 80
девяносто 90
сто 100
двести 200
триста 300
четыреста 400
пятьсот 500
