восток 东方
запад 西方
юг 南方
север 北方
впереди 在前边
позади 在后边
слева 在左边
справа 在右边
близко 在近处
далеко 在远处
ввeрxy 在上面
внизу 在下面
рядом 在旁边
почта 邮局
театр 剧院
бассейн 游泳馆
стадион 体育场
музей 博物馆
кафе 咖啡馆
аптека 药店
банк 银行
завод 重工厂
фабрика 轻工厂 
посольство 大使馆
библиотека 图书馆
шкаф 柜子
кровать 床
лампа 灯
кресло 椅子
находится 位于
здесь 这里
собака 狗
кошка 猫
самолет 飞机
волноваться 兴奋
радоваться 高兴
радостный 喜悦
рад 高兴
печальный 悲伤
гнев 愤怒
страх 恐惧
ревнивый 嫉妒
злиться 恼火
печальный 难过
счастливый 快乐
одинокий 孤独
освежающий 爽快
милый 甜美
отвращение 反感
ужасный 可恶
высокомерный 高傲
озабоченный 焦虑
скромный 腼腆
стыд 羞耻
удивленный 惊讶
уважение 尊重
добрый 善良的
нормально 正常
обычно 平常
отлично 很好
неважно 不太好
по-старому 老样子

