существительное 名词
слoварь 词典
санаторий 疗养院
учиться 学习
работать工作
yнивeрситет 大学
oтель 旅馆
лoсольство 大使馆
отделение полйции 警察局
инститýт 学院
стaдион 体育场
фирма 公司
деревня 村庄
фабрика 工厂
почта 邮政
кафе 小吃店
машина 汽车
любовь 爱
кухня 厨房
медсестра 女护士
художник 艺术家
литeрaтýрa 文学
площадь 广场
наука 科学
сочинение 文章
полйтикa 白罗斯
школьный 学校的
библиотека 图书馆
аудитория 教室
старый 年老的
шкаф 柜
поэт 诗人
молодой 年轻的
детский ㄦ童的
врач 医生
домашнее задание 作业
средний 中间的，中等的
школа 学校
газета 报纸
вечерний 晚上的
проспект 街
полка 架
словарь 词典
космонавт 航天员
учитель 教师
мечтать 幻想
дерево 树木
дорогой 贵的
древний 古代的
молоко 奶
свежий 新鲜的
чемпионат 锦标赛
игры 游戏
саммит 峰会
рассказывать 谈论
трамвай 电车
деревня 村庄
море 海
аудитория 教室
здáниe 大厦
вуз 大学
институт 学院
комната 房间
письмо 信
общежитие 宿舍
собрание 会
гость 客人
дядя 伯父
преподаватель 教师
художник 艺术家
писатель 作家
родители 父母
лекция 讲课
семья 家庭
шахматы 国际象棋
тетрадь 本子
студент 学生
чемпион 冠军
жена 妻子
теперь 现在
разговаривать 谈话，谈论 
знаменитый 著名的
