рассказ 短篇小说
мобильник 手机
искусство 艺术
народ 人民
карта 地图
европа 欧洲
азия 亚洲
больница 医院
ваза 花瓶
груша 梨
гора 山
купить 买
серьги 耳环
бегать 跑
рисовать 画画
открытка 明信片
быть 有
экскурсия 游览
олимпиада 奥林匹克运动会
провинция 省
завтрак 早饭
обед 午饭
роман 长篇小说
болеть 疼痛，病痛
болит голова 头疼
температура 温度
фотоаппарат 相机
фотографировать 拍照
с днем рождения 生日快乐
праздник весны 春节
традиционный 传统的
лунный календарь 阴历
символ 符号
отмечать 庆祝
радость 高兴
одеваться 穿
раньше 在..时候以前
экономический 经济的
факультет 系
торговый 商业的
наблюдать 观察
космос 宇宙
астроном 天文学家
основать 建立
телевидение 电视
планета 行星
называться 称呼
подписать 签署
художественный 艺术的
училище 学校
талант 天才
голос 声音
музыкальный 音乐的
слух 听觉
музыка 音乐
родиться 出生
6epa 不幸
использовать 使用，运用
печатать 打字
проводить 通过，度过
пообедать 吃午饭
точно 准确地
недалеко 距离不远
добраться 到达
удобно 方便
помидор 西红柿
огурец 黄瓜
провинция 省份
собрание 会
керамика 陶瓷
экспонат 展品
паровоз 蒸汽机车
техника 技术
германия 德国
принимать 接受，招收
иностранец 外国人
разный 不同的
специалист 专家
экспонат 展览品
кукла 洋娃娃
необычный 特殊的
редкий 稀疏的，少有的
интересный 有兴趣的
уникальный 稀有的
скульптура 雕塑
металл 金属
зонтик 雨伞
чайник 茶壶
берлин 柏林
