несовершенный вид 未完成体
совершенный вид 完成体
звонить 打电话
положить 放
конверт 信封
готовить 做饭，准备
решать 解决
правильный 对的
заработать 挣钱
радио 无线电台
вставать 起床
собрание 会议
завтракать 吃皁饭
уже 已经
немного 不多
роман 长篇小说
сайт 网站
делать 制造
стих 诗
журнал 杂志
магнитофон 磁带录音机
болеть 生病
нога 脚
известный 知道的，有名的
футбол 踢足球
библиотека 图书馆
переводить 翻译
старшекурсник 高年级学生
трудно 困难地
обьяснять 解释
передать 传递
сто раз 很多次
заниматься 学习
автобусная остановка 公交车站
скучно 无聊的
больно 疼痛地
жарко 热地
грустно 忧郁地
интересно 有趣地
холодно 冷
аспирант 研究生
осень 秋
композитор 作曲家
репортаж 采访
рубль 卢布
режиссер 导演
пенсионерка 女退休者
пенсионер 退休者
исполниться 届满
слева 从左边
справа 从右边
подарить 赠送
приготовить 准备
подарок 礼物
шарф 围巾
галстук 领带
универмаг 百货商店
понравиться 喜欢
геология 地质学
праздник 假日
пожелать 祝愿
помогать 帮助
дать 给
фотоаппарат 照相机
сочинение 文章，著作
близкий 近的
родственник 亲戚
приятный 令人高兴的
трудный 困难的
можно 可以
нужно 需要
надо 应该
интересно 感兴趣
больно 疼痛
пожилой 上年纪的
парень 年轻人
брать 拿
искусство 艺术
экзамен 考试
вагон 车厢
декан 大学的系主任
видеть 看见
исполняться 实现
тест 试验
грамматика 语法
физика 物理
решить 决定
кому пойти 适合谁
