житель 居民
в связи с чем 由于...
ремонтный 修理的
теплотрасса 热力管道
отсутствовать 没有，缺席
читатель 读者
изменять 改变
охранять 保护，维护
управлять 管理，操控
исследовать 研究，考察
пословица 谚语
производить 生产，制造
участвовать 参加
обсуждать 讨论
лекция 讲课，演讲
определительный 定语的，限定的
придаточный 从属的
конструкция 结构，设计
заменить 用..来代替
образовать 构成，成立
эксперимент 实验，尝试
норвегия 挪威
использовать 利用，使用
функция 功能
владелец 所有人，物主
телепередача 电视节目
спортивный 运动的
программа 节目(单)
видеоклип 视频短片
во время чего 在…时间里
бесплатный 免费的
услуга 服务
cooбшeниe 通知
объявление 公告
обратить 转向
вниманиe 注意力
выделить 标出
форма 形式
нобелевский 诺贝尔的
премия 奖金
научный 科学的
открытие 发现
связать 联系
медицина 医学
сохранить 保存
продлить 延长
известно 知道
солнечный 太阳的
система 系统
планета 行星
будущий 未来的
астероид 小行星
астроном 天文学家
считаться 认为
определять 判断
зависеть от 取决于
построить 建造
подготовительный 预备的
курс 课程
заинтересоваться 感兴趣
реклама 广告
требоваться 要求
опытный 有经验的
организовать 组织，安排
физический 物理
факультет 系
железо 铁
кровь 血液
удивить 使惊讶
предложить 建议
медаль 奖章
кольцо 环，戒指
собственный 私人的
