российский 俄罗斯的
федерация 联邦
хронология 年代表
существовать 存在
республика 共和国
советский 苏维埃的
империя 帝国
ссср 苏联
появиться 发生，出现
точный 准确
основать 成立
картинный 绘画的
галерея 陈列馆
документ 证书
образования 教育
поступить 进了
в составе 由...组成
субьект 主体
равноправный 平等的
древний 古代的
занимать 占据
квадратный 平方的
километр 公里
глубокий 深的
земной шар 地球
обьем 容量
кубический 立方的
половина 一半
полтора 一个半
население 人口
составлять 组成
территория 领土
государство 国家
расположение 布置，排列
материк 大陆
эвразия 欧亚
денежный 货币的
единица 单位
дамы 女士
господа 先生
лотерейный 抽彩的
выиграть 赢，获胜
автомобиль 汽车
деепричастие 副动词
ложиться 躺下
готовиться 准备
беречь 珍惜，爱护
портрет 肖像
теорема 原理
схема 简图
основной 基本的
идея 思想，想法
рассердить 使生气
накричать 喊
мимо кого-чего 从…旁边过
плакать 哭
лечь 躺下
уткнуться 扎进，藏入
сожалеть 惋惜，懊悔
подушка 枕头
жениться 结婚，娶妻
вздыхать 叹气，深呼吸
поначалу 起初，开头
мириться 和解，不计较
почувствовать 感受，经历
все-таки 还是
протянуть 拉，伸出
обнять 拥抱
поссориться 吵架，闹翻
удаться 成功，得手
