вырасти 长大，长高
возвращаться 返回
снова 又一次，重新
средство 方法，手段
указательный 指示的
союзный 连接的
поворачивать 转向，改变
влево 向左
вправо 向右
собраться 聚集，汇集
доноситься 传到
опустить 放下，去掉
видный 显著的，看见的
наречие 副词
везде 到处
всюду 各处
впереди 在前面
позади 在后面
вперед 向前
назад 向后
оглянуться 环顾四周
прохожий 路人
шуметь 响，喧哗
толпа 人群
взглянуть 看一看
автомобиль 汽车(阳)
повернуть 转向
сцена 舞台
приветливо 和蔼的，亲切的
купаться 洗澡，戏水
ягоды 浆果(复)
родиться 出生
достижение 成就
зачем 为什么目的
богатый 富有的
путешествовать 旅行
закончить 完成，结束
вчерашний 昨天的
разбудить 叫醒
накрыть 盖上
платок 手帕
мешать 打扰，妨碍
достичь 达到
тратить 花费
бокс 拳击
между кем чем 在......之间
копить 积蓄，存储
затем 为此
проверить 检查
попасть 打中，来到
дойти 走到，到达
повышение 升高，晋升
сдать 通过(考试)
подышать 呼吸
физкультура 体育
послать 派遣，打发
отдать 送交
редакция 编辑部
