あ,a
ア,A
い,i
イ,I
う,u
ウ,U
え,e
エ,E
お,o
オ,O
ん,n
ン,N
か,ka
カ,KA
き,ki
キ,KI
く,ku
ク,KU
け,ke
ケ,KE
こ,ko
コ,KO
さ,sa
サ,SA
し,si
シ,SI
す,su
ス,SU
せ,se
セ,SE
そ,so
ソ,SO
た,ta
タ,TA
ち,ti
チ,TI
つ,tu
ツ,TU
て,te
テ,TE
と,to
ト,TO
な,na
ナ,NA
に,ni
ニ,NI
ぬ,nu
ヌ,NU
ね,ne
ネ,NE
の,no
ノ,NO
は,ha
ハ,HA
ひ,hi
ヒ,HI
ふ,hu
フ,HU
ふ,fu
フ,FU
へ,he
ヘ,HE
ほ,ho
ホ,HO
ま,ma
マ,MA
み,mi
ミ,MI
む,mu
ム,MU
め,me
メ,ME
も,mo
モ,MO
や,ya
ヤ,YA
ゆ,yu
ユ,YU
よ,yo
ヨ,YO
ら,ra
ラ,RA
り,ri
リ,RI
る,ru
ル,RU
れ,re
レ,RE
ろ,ro
ロ,RO
わ,wa
ワ,WA
ん,nn
ン,NN
が,ga
ガ,GA
ぎ,gi
ギ,GI
ぐ,gu
グ,GU
げ,ge
ゲ,GE
ご,go
ゴ,GO
ざ,za
ザ,ZA
じ,zi
ジ,ZI
じ,ji
ジ,JI
ず,zu
ズ,ZU
ぜ,ze
ゼ,ZE
ぞ,zo
ゾ,ZO
だ,da
ダ,DA
ぢ,di
ヂ,DI
づ,du
ヅ,DU
で,de
デ,DE
ど,do
ド,DO
ば,ba
バ,BA
び,bi
ビ,BI
ぶ,bu
ブ,BU
べ,be
ベ,BE
ぼ,bo
ボ,BO
ぱ,pa
パ,PA
ぴ,pi
ピ,PI
ぷ,pu
プ,PU
ぺ,pe
ペ,PE
ぽ,po
ポ,PO
ぁ,xa
ァ,XA
ぃ,xi
ィ,XI
ぅ,xu
ゥ,XU
ぇ,xe
ェ,XE
ぉ,xo
ォ,XO
ヵ,xka
ヵ,XKA
っ,xtu
っ,XTU
きゃ,kya
キャ,KYA
きゅ,kyu
キュ,KYU
きょ,kyo
キャ,KYO
しゃ,sya
シャ,SYA
しゅ,syu
シュ,SYU
しょ,syo
ショ,SYO
ちゃ,tya
チャ,TYA
ちゅ,tyu
チュ,TYU
ちょ,tyo
チョ,TYO
にゃ,nya
ニャ,NYA
にゅ,nyu
ニュ,NYU
にょ,nyo
ニョ,NYO
